matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
15 Feb 2021 19:00,Turkgucu Munchen,Magdeburg,2.74,3.21,2.63,2-1,2020-2021
14 Feb 2021 14:00,SG Dynamo Dresden,Lubeck,2.02,3.26,3.92,3-1,2020-2021
Unknown 13:00,Unterhaching,Saarbrucken,2.51,3.23,2.85,0-1,2020-2021
13 Feb 2021 14:00,Kaiserslautern,Bayern II,2.56,3.41,2.68,1-1,2020-2021
Unknown 14:00,Mannheim,Wehen,2.84,3.62,2.33,0-1,2020-2021
Unknown 14:00,Munich 1860,Hansa Rostock,2.38,3.16,3.12,0-0,2020-2021
10 Feb 2021 19:00,Bayern II,Zwickau,1.98,3.62,3.7,3-2,2020-2021
07 Feb 2021 14:00,Wehen,Turkgucu Munchen,1.96,3.51,3.74,3-1,2020-2021
Unknown 13:00,Bayern II,Uerdingen,2.41,3.1,3.05,0-1,2020-2021
06 Feb 2021 14:00,Ingolstadt,Viktoria Koln,1.72,3.86,4.63,2-1,2020-2021
Unknown 14:00,Magdeburg,SG Dynamo Dresden,2.77,3.27,2.56,0-1,2020-2021
Unknown 14:00,Mannheim,Kaiserslautern,2.46,3.28,2.92,0-2,2020-2021
Unknown 14:00,Meppen,Unterhaching,2.64,3.28,2.67,3-2,2020-2021
Unknown 14:00,Zwickau,Hallescher,2.61,3.15,2.82,2-2,2020-2021
05 Feb 2021 19:00,Hansa Rostock,Verl,2.17,3.55,3.16,3-2,2020-2021
01 Feb 2021 19:00,Hallescher,Saarbrucken,2.6,3.28,2.71,1-1,2020-2021
31 Jan 2021 14:00,Munich 1860,Zwickau,1.76,3.51,4.89,0-1,2020-2021
Unknown 13:00,Duisburg,Lubeck,2.46,3.39,2.8,3-1,2020-2021
30 Jan 2021 14:00,Kaiserslautern,Wehen,2.56,3.11,2.88,0-1,2020-2021
Unknown 14:00,Turkgucu Munchen,Mannheim,2.72,3.23,2.64,0-2,2020-2021
Unknown 14:00,Unterhaching,Ingolstadt,4.46,3.64,1.79,0-1,2020-2021
Unknown 14:00,Verl,Meppen,1.84,3.69,4.23,3-1,2020-2021
27 Jan 2021 19:00,Hansa Rostock,Saarbrucken,2.21,3.11,3.49,4-2,2020-2021
Unknown 19:00,Ingolstadt,Hallescher,1.71,3.58,5.16,1-1,2020-2021
Unknown 19:00,Lubeck,Unterhaching,2.29,3.24,3.2,1-0,2020-2021
Unknown 19:00,Magdeburg,Munich 1860,3.08,3.22,2.37,0-3,2020-2021
26 Jan 2021 19:00,Kaiserslautern,Turkgucu Munchen,2.12,3.24,3.63,0-0,2020-2021
Unknown 19:00,Mannheim,SG Dynamo Dresden,2.59,3.39,2.64,1-0,2020-2021
Unknown 19:00,Wehen,Viktoria Koln,2.15,3.51,3.29,2-2,2020-2021
Unknown 19:00,Zwickau,Duisburg,2.31,3.2,3.17,3-1,2020-2021
